# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
64 64 1.000000000000000e+00 1.000000000000000e+00 2.857142857142857e+00 3.500000000000000e-01 -2.371482235316833e+00 -8.798060452930385e-01 4.773841565730530e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.816901408450704e+00 3.550000000000000e-01 -2.350611062152685e+00 -8.995335899221359e-01 5.034864676014280e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.777777777777778e+00 3.600000000000000e-01 -2.330597125095331e+00 -9.197693465928709e-01 5.314177988927068e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.739726027397260e+00 3.650000000000000e-01 -2.311412414120434e+00 -9.405516554642213e-01 5.614009057892207e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.702702702702703e+00 3.700000000000000e-01 -2.293030986473334e+00 -9.619242251290363e-01 5.937034867056199e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.666666666666667e+00 3.750000000000000e-01 -2.275428908000985e+00 -9.839373203840993e-01 6.286513633541169e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.631578947368421e+00 3.799999999999999e-01 -2.258584217061813e+00 -1.006649323838010e+00 6.666469856345397e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.597402597402597e+00 3.850000000000000e-01 -2.242476914800678e+00 -1.030128835677863e+00 7.081962973790502e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.564102564102564e+00 3.900000000000000e-01 -2.227088987909615e+00 -1.054457583828325e+00 7.539497154580150e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.531645569620253e+00 3.950000000000000e-01 -2.212404474059951e+00 -1.079734642122707e+00 8.047696237400430e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.500000000000000e+00 4.000000000000000e-01 -2.198409588243905e+00 -1.106082992472093e+00 8.618550831631351e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.469135802469136e+00 4.050000000000000e-01 -2.185092946669540e+00 -1.133660912787272e+00 9.270090901834853e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.439024390243902e+00 4.100000000000000e-01 -2.172445972600786e+00 -1.162684875308495e+00 1.003303658655434e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.409638554216868e+00 4.150000000000000e-01 -2.160463703359084e+00 -1.193483276459504e+00 1.096923196393970e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.380952380952381e+00 4.200000000000000e-01 -2.149146608700978e+00 -1.226636976417708e+00 1.222405233256954e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.352941176470588e+00 4.250000000000000e-01 -2.138505073465299e+00 -1.263344803379901e+00 1.415234478361873e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.325581395348837e+00 4.300000000000000e-01 -2.128569808887771e+00 -1.306101039146504e+00 1.737374456652748e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.298850574712644e+00 4.350000000000001e-01 -2.119405291803828e+00 -1.358041289317121e+00 2.139444240378923e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.272727272727273e+00 4.399999999999999e-01 -2.111082630195753e+00 -1.416121278830417e+00 2.220497981620880e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.247191011235955e+00 4.450000000000000e-01 -2.103581393973579e+00 -1.469281263914908e+00 1.913579215124342e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.222222222222222e+00 4.500000000000000e-01 -2.096784672193872e+00 -1.513027944989014e+00 1.606721326306754e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.197802197802198e+00 4.550000000000001e-01 -2.090575915988128e+00 -1.549571436859173e+00 1.399165002259768e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.173913043478261e+00 4.600000000000000e-01 -2.084870960519528e+00 -1.581175865227453e+00 1.253690326078768e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.150537634408602e+00 4.650000000000000e-01 -2.079608084794605e+00 -1.609139371169248e+00 1.142865706515884e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.127659574468085e+00 4.700000000000000e-01 -2.074738869144400e+00 -1.634234498915307e+00 1.053523550365909e+00
64 64 1.000000000000000e+00 1.000000000000000e+00 2.105263157894737e+00 4.750000000000000e-01 -2.070223547000098e+00 -1.656973239124325e+00 9.788337808486699e-01
64 64 1.000000000000000e+00 1.000000000000000e+00 2.083333333333333e+00 4.800000000000000e-01 -2.066028520527632e+00 -1.677722451231056e+00 9.148034925304470e-01
