# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
4 4 1.000000000000000e+00 1.000000000000000e+00 2.857142857142857e+00 3.500000000000000e-01 -2.422218137592510e+00 -1.108656943775598e+00 6.788330528492087e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.816901408450704e+00 3.550000000000000e-01 -2.403912536359531e+00 -1.136391177183742e+00 6.994581367264886e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.777777777777778e+00 3.600000000000000e-01 -2.386500779538259e+00 -1.164137790163954e+00 7.188138286003558e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.739726027397260e+00 3.650000000000000e-01 -2.369945875828974e+00 -1.191834205483093e+00 7.367417287750742e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.702702702702703e+00 3.700000000000000e-01 -2.354211983218919e+00 -1.219417288693591e+00 7.530973875425646e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.666666666666667e+00 3.750000000000000e-01 -2.339264329928987e+00 -1.246824098695272e+00 7.677532005623667e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.631578947368421e+00 3.799999999999999e-01 -2.325069151484142e+00 -1.273992636086007e+00 7.806008864875295e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.597402597402597e+00 3.850000000000000e-01 -2.311593642286959e+00 -1.300862569963986e+00 7.915534590339517e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.564102564102564e+00 3.900000000000000e-01 -2.298805919997021e+00 -1.327375924778907e+00 8.005466288463775e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.531645569620253e+00 3.950000000000000e-01 -2.286675000968078e+00 -1.353477710559838e+00 8.075395969503788e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.500000000000000e+00 4.000000000000000e-01 -2.275170784975632e+00 -1.379116482259349e+00 8.125152294404585e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.469135802469136e+00 4.050000000000000e-01 -2.264264047483863e+00 -1.404244816890333e+00 8.154796304308308e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.439024390243902e+00 4.100000000000000e-01 -2.253926437753256e+00 -1.428819700410783e+00 8.164611554064503e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.409638554216868e+00 4.150000000000000e-01 -2.244130481177693e+00 -1.452802819737803e+00 8.155089284608423e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.380952380952381e+00 4.200000000000000e-01 -2.234849584358501e+00 -1.476160758655505e+00 8.126909433980493e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.352941176470588e+00 4.250000000000000e-01 -2.226058041567834e+00 -1.498865099550299e+00 8.080918396758751e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.325581395348837e+00 4.300000000000000e-01 -2.217731041418335e+00 -1.520892435719835e+00 8.018104495175267e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.298850574712644e+00 4.350000000000001e-01 -2.209844672733385e+00 -1.542224301353063e+00 7.939572124927982e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.272727272727273e+00 4.399999999999999e-01 -2.202375928795194e+00 -1.562847028103842e+00 7.846515490983262e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.247191011235955e+00 4.450000000000000e-01 -2.195302709329871e+00 -1.582751538453482e+00 7.740192762332122e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.222222222222222e+00 4.500000000000000e-01 -2.188603819763419e+00 -1.601933086788752e+00 7.621901359974201e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.197802197802198e+00 4.550000000000001e-01 -2.182258967445310e+00 -1.620390959351128e+00 7.492954960042004e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.173913043478261e+00 4.600000000000000e-01 -2.176248754683185e+00 -1.638128144001822e+00 7.354662653988526e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.150537634408602e+00 4.650000000000000e-01 -2.170554668560525e+00 -1.655150980172236e+00 7.208310569111569e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.127659574468085e+00 4.700000000000000e-01 -2.165159067617556e+00 -1.671468798513229e+00 7.055146122532298e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.105263157894737e+00 4.750000000000000e-01 -2.160045165563573e+00 -1.687093558702889e+00 6.896364965449961e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.083333333333333e+00 4.800000000000000e-01 -2.155197012256965e+00 -1.702039492699215e+00 6.733100575504003e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.061855670103093e+00 4.849999999999999e-01 -2.150599472238582e+00 -1.716322759501044e+00 6.566416375105971e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.040816326530612e+00 4.900000000000000e-01 -2.146238201136356e+00 -1.729961116266377e+00 6.397300192898385e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.020202020202020e+00 4.950000000000000e-01 -2.142099620276533e+00 -1.742973609478084e+00 6.226660843144838e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 2.000000000000000e+00 5.000000000000000e-01 -2.138170889841448e+00 -1.755380288777435e+00 6.055326572100547e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.980198019801980e+00 5.050000000000000e-01 -2.134439880908007e+00 -1.767201945128856e+00 5.884045108990568e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.960784313725490e+00 5.100000000000000e-01 -2.130895146686922e+00 -1.778459874147785e+00 5.713485059605989e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.941747572815534e+00 5.150000000000000e-01 -2.127525893262477e+00 -1.789175664722258e+00 5.544238390160880e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.923076923076923e+00 5.200000000000000e-01 -2.124321950107923e+00 -1.799371012485754e+00 5.376823765502876e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.904761904761905e+00 5.250000000000000e-01 -2.121273740624205e+00 -1.809067557247138e+00 5.211690526846087e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.886792452830188e+00 5.300000000000000e-01 -2.118372252920889e+00 -1.818286743142810e+00 5.049223118007372e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.869158878504673e+00 5.350000000000000e-01 -2.115609011029045e+00 -1.827049700034034e+00 4.889745794117786e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.851851851851852e+00 5.400000000000000e-01 -2.112976046707346e+00 -1.835377144515539e+00 4.733527471718484e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.834862385321101e+00 5.450000000000000e-01 -2.110465871975343e+00 -1.843289298816289e+00 4.580786603112480e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.818181818181818e+00 5.500000000000000e-01 -2.108071452482383e+00 -1.850805825846855e+00 4.431695980181294e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.801801801801802e+00 5.550000000000000e-01 -2.105786181797120e+00 -1.857945778668049e+00 4.286387393168269e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.785714285714286e+00 5.600000000000001e-01 -2.103603856681340e+00 -1.864727562711470e+00 4.144956087956861e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.769911504424779e+00 5.649999999999999e-01 -2.101518653392896e+00 -1.871168909165023e+00 4.007464981050443e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.754385964912281e+00 5.700000000000000e-01 -2.099525105045888e+00 -1.877286858037086e+00 3.873948604828876e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.739130434782609e+00 5.750000000000000e-01 -2.097618080041836e+00 -1.883097749525098e+00 3.744416766832770e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.724137931034483e+00 5.800000000000000e-01 -2.095792761573329e+00 -1.888617222432407e+00 3.618857915976279e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.709401709401710e+00 5.850000000000000e-01 -2.094044628191252e+00 -1.893860218497064e+00 3.497242215913354e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.694915254237288e+00 5.900000000000000e-01 -2.092369435418231e+00 -1.898840991614135e+00 3.379524331500262e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.680672268907563e+00 5.950000000000000e-01 -2.090763198383979e+00 -1.903573121047022e+00 3.265645938616227e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.666666666666667e+00 6.000000000000000e-01 -2.089222175452793e+00 -1.908069527831064e+00 3.155537970740570e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.652892561983471e+00 6.050000000000000e-01 -2.087742852809225e+00 -1.912342493673384e+00 3.049122617828446e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.639344262295082e+00 6.100000000000000e-01 -2.086321929964913e+00 -1.916403681745761e+00 2.946315094356476e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.626016260162602e+00 6.150000000000000e-01 -2.084956306147339e+00 -1.920264158852012e+00 2.847025194081327e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.612903225806452e+00 6.200000000000000e-01 -2.083643067530003e+00 -1.923934418527826e+00 2.751158649208485e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.600000000000000e+00 6.250000000000000e-01 -2.082379475262812e+00 -1.927424404699506e+00 2.658618311419589e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.587301587301587e+00 6.300000000000000e-01 -2.081162954261381e+00 -1.930743535588948e+00 2.569305171659719e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.574803149606299e+00 6.350000000000000e-01 -2.079991082714310e+00 -1.933900727605807e+00 2.483119234821027e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.562500000000000e+00 6.400000000000000e-01 -2.078861582268202e+00 -1.936904419014882e+00 2.399960264545780e-01
4 4 1.000000000000000e+00 1.000000000000000e+00 1.550387596899225e+00 6.450000000000000e-01 -2.077772308851232e+00 -1.939762593207542e+00 2.319728412366859e-01
