# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
16 16 1.000000000000000e+00 1.000000000000000e+00 1.904761904761905e+00 5.250000000000000e-01 -2.043710996472939e+00 -1.806793067896237e+00 5.689502334707269e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.886792452830188e+00 5.300000000000000e-01 -2.041523586103762e+00 -1.816792035348532e+00 5.441393153810723e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.869158878504673e+00 5.350000000000000e-01 -2.039467620731081e+00 -1.826180966413951e+00 5.209334666812592e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.851851851851852e+00 5.400000000000000e-01 -2.037534023079540e+00 -1.835007033463786e+00 4.991667716510669e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.834862385321101e+00 5.450000000000000e-01 -2.035714458764843e+00 -1.843312521418133e+00 4.786980853493633e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.818181818181818e+00 5.500000000000000e-01 -2.034001261293321e+00 -1.851135508698675e+00 4.594063521251212e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.801801801801802e+00 5.550000000000000e-01 -2.032387366681249e+00 -1.858510426731483e+00 4.411869336141402e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.785714285714286e+00 5.600000000000001e-01 -2.030866256128285e+00 -1.865468523743733e+00 4.239487209698004e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.769911504424779e+00 5.649999999999999e-01 -2.029431905490425e+00 -1.872038252608434e+00 4.076118510810284e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.754385964912281e+00 5.700000000000000e-01 -2.028078740538116e+00 -1.878245597900514e+00 3.921058870103804e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.739130434782609e+00 5.750000000000000e-01 -2.026801597171796e+00 -1.884114353854657e+00 3.773683560916364e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.724137931034483e+00 5.800000000000000e-01 -2.025595685913200e+00 -1.889666362300377e+00 3.633435650738593e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.709401709401710e+00 5.850000000000000e-01 -2.024456560106092e+00 -1.894921717679745e+00 3.499816314309576e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.694915254237288e+00 5.900000000000000e-01 -2.023380087352141e+00 -1.899898944761663e+00 3.372376847447879e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.680672268907563e+00 5.950000000000000e-01 -2.022362423781702e+00 -1.904615153530304e+00 3.250712030796573e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.666666666666667e+00 6.000000000000000e-01 -2.021399990819434e+00 -1.909086174851710e+00 3.134454574547372e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.652892561983471e+00 6.050000000000000e-01 -2.020489454154119e+00 -1.913326679845133e+00 3.023270436270622e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.639344262295082e+00 6.100000000000000e-01 -2.019627704662752e+00 -1.917350285355256e+00 2.916854849756356e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.626016260162602e+00 6.150000000000000e-01 -2.018811841072973e+00 -1.921169647502338e+00 2.814928937336640e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.612903225806452e+00 6.200000000000000e-01 -2.018039154176407e+00 -1.924796544953022e+00 2.717236804475217e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.600000000000000e+00 6.250000000000000e-01 -2.017307112429466e+00 -1.928241953285914e+00 2.623543035616206e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.587301587301587e+00 6.300000000000000e-01 -2.016613348798570e+00 -1.931516111608172e+00 2.533630525943807e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.574803149606299e+00 6.350000000000000e-01 -2.015955648724163e+00 -1.934628582401488e+00 2.447298595944178e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.562500000000000e+00 6.400000000000000e-01 -2.015331939092759e+00 -1.937588305429744e+00 2.364361345309610e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.550387596899225e+00 6.450000000000000e-01 -2.014740278119111e+00 -1.940403646419590e+00 2.284646210394493e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.538461538461538e+00 6.500000000000000e-01 -2.014178846051720e+00 -1.943082441124623e+00 2.207992695573050e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.526717557251908e+00 6.550000000000000e-01 -2.013645936624485e+00 -1.945632035299638e+00 2.134251253800961e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.515151515151515e+00 6.600000000000000e-01 -2.013139949185712e+00 -1.948059321040603e+00 2.063282295702980e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.503759398496241e+00 6.650000000000000e-01 -2.012659381443039e+00 -1.950370769886248e+00 1.994955309791480e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.492537313432836e+00 6.700000000000000e-01 -2.012202822769243e+00 -1.952572463026342e+00 1.929148079117768e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.481481481481481e+00 6.750000000000000e-01 -2.011768948019562e+00 -1.954670118918534e+00 1.865745981883597e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.470588235294118e+00 6.800000000000000e-01 -2.011356511816133e+00 -1.956669118578565e+00 1.804641365388798e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.459854014598540e+00 6.850000000000001e-01 -2.010964343259586e+00 -1.958574528776935e+00 1.745732984230064e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.449275362318841e+00 6.899999999999999e-01 -2.010591341031693e+00 -1.960391123347707e+00 1.688925494954887e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.438848920863310e+00 6.950000000000000e-01 -2.010236468856481e+00 -1.962123402791406e+00 1.634129000459774e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.428571428571429e+00 7.000000000000000e-01 -2.009898751290279e+00 -1.963775612333507e+00 1.581258638334425e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.418439716312057e+00 7.050000000000000e-01 -2.009577269813940e+00 -1.965351758582074e+00 1.530234208129783e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.408450704225352e+00 7.100000000000000e-01 -2.009271159202943e+00 -1.966855624912515e+00 1.480979833185852e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.398601398601399e+00 7.150000000000000e-01 -2.008979604153256e+00 -1.968290785693823e+00 1.433423653215568e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.388888888888889e+00 7.200000000000000e-01 -2.008701836142865e+00 -1.969660619458640e+00 1.387497544322454e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.379310344827586e+00 7.250000000000000e-01 -2.008437130510631e+00 -1.970968321108961e+00 1.343136863541944e-01
16 16 1.000000000000000e+00 1.000000000000000e+00 1.369863013698630e+00 7.300000000000001e-01 -2.008184803735713e+00 -1.972216913240047e+00 1.300280215349673e-01
