# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
32 32 1.000000000000000e+00 1.000000000000000e+00 2.857142857142857e+00 3.500000000000000e-01 -2.371482267150040e+00 -8.798076341910943e-01 4.774114830083349e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.816901408450704e+00 3.550000000000000e-01 -2.350611125933047e+00 -8.995367834217260e-01 5.035423452189158e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.777777777777778e+00 3.600000000000000e-01 -2.330597251920586e+00 -9.197757158224404e-01 5.315311403111981e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.739726027397260e+00 3.650000000000000e-01 -2.311412664435050e+00 -9.405642622541661e-01 5.616289835966771e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.702702702702703e+00 3.700000000000000e-01 -2.293031476899975e+00 -9.619489914743509e-01 5.941588482415693e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.666666666666667e+00 3.750000000000000e-01 -2.275429861913722e+00 -9.839856139152925e-01 6.295533852462033e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.631578947368421e+00 3.799999999999999e-01 -2.258586059178064e+00 -1.006742797549509e+00 6.684196120629932e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.597402597402597e+00 3.850000000000000e-01 -2.242480446640988e+00 -1.030308397365847e+00 7.116508632128009e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.564102564102564e+00 3.900000000000000e-01 -2.227095710111355e+00 -1.054799802672478e+00 7.606201479657156e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.531645569620253e+00 3.950000000000000e-01 -2.212417170982289e+00 -1.080381176951806e+00 8.175065214726085e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.500000000000000e+00 4.000000000000000e-01 -2.198433368562352e+00 -1.107291660977511e+00 8.858125010662029e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.469135802469136e+00 4.050000000000000e-01 -2.185137038752270e+00 -1.135888970454846e+00 9.710635025404928e-01
32 32 1.000000000000000e+00 1.000000000000000e+00 2.439024390243902e+00 4.100000000000000e-01 -2.172526650100811e+00 -1.166707787191587e+00 1.081344760964355e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.409638554216868e+00 4.150000000000000e-01 -2.160608525635820e+00 -1.200509471601097e+00 1.226296929161233e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.380952380952381e+00 4.200000000000000e-01 -2.149398972787385e+00 -1.238236771733523e+00 1.411178991771342e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.352941176470588e+00 4.250000000000000e-01 -2.138924302383317e+00 -1.280688539841793e+00 1.622154589328105e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.325581395348837e+00 4.300000000000000e-01 -2.129214559802714e+00 -1.327762876403392e+00 1.809834548603597e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.298850574712644e+00 4.350000000000001e-01 -2.120287909473658e+00 -1.377651403586478e+00 1.902080741759629e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.272727272727273e+00 4.399999999999999e-01 -2.112131850162606e+00 -1.427090607709772e+00 1.861521967915384e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.247191011235955e+00 4.450000000000000e-01 -2.104696962652242e+00 -1.472990925967212e+00 1.721862344658918e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.222222222222222e+00 4.500000000000000e-01 -2.097909812109375e+00 -1.513840287971148e+00 1.548766551902446e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.197802197802198e+00 4.550000000000001e-01 -2.091692562718867e+00 -1.549650557874926e+00 1.387452051654070e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.173913043478261e+00 4.600000000000000e-01 -2.085975467950572e+00 -1.581138530763335e+00 1.252832791510959e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.150537634408602e+00 4.650000000000000e-01 -2.080700313439490e+00 -1.609107619545309e+00 1.143591153661910e+00
32 32 1.000000000000000e+00 1.000000000000000e+00 2.127659574468085e+00 4.700000000000000e-01 -2.075819227429751e+00 -1.634218303856497e+00 1.054080548571817e+00
