Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
53	:	1671204374.859	     2.341	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.639344262295082
54	:	1671204374.943	     2.335	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.6260162601626016
55	:	1671204375.009	     2.350	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.6129032258064517
56	:	1671204375.081	     2.360	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.6
57	:	1671204375.159	     2.346	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.5873015873015872
58	:	1671204375.231	     2.340	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.574803149606299
59	:	1671204375.308	     2.346	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.5625
60	:	1671204375.392	     2.342	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.5503875968992247
61	:	1671204375.476	     2.424	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.5384615384615383
62	:	1671204375.560	     2.433	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.5267175572519083
63	:	1671204375.650	     2.414	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.5151515151515151
64	:	1671204375.728	     2.404	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.5037593984962405
65	:	1671204375.803	     2.403	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4925373134328357
66	:	1671204375.875	     2.407	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4814814814814814
67	:	1671204375.942	     2.416	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4705882352941175
68	:	1671204376.013	     2.430	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4598540145985401
69	:	1671204376.091	     2.411	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 4 1.4492753623188408
