# lattice: square
# precision: 15
# Lx Ly Jx Jy T 1/T F/N E/N C/N
8 8 1.000000000000000e+00 1.000000000000000e+00 2.857142857142857e+00 3.500000000000000e-01 -2.374971376266049e+00 -9.191479001899299e-01 6.132572933990925e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.816901408450704e+00 3.550000000000000e-01 -2.354645629694784e+00 -9.447206093589897e-01 6.583875487055555e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.777777777777778e+00 3.600000000000000e-01 -2.335247321868356e+00 -9.714016453968781e-01 7.061888242709029e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.739726027397260e+00 3.650000000000000e-01 -2.316753710369394e+00 -9.992155685897615e-01 7.562823440261007e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.702702702702703e+00 3.700000000000000e-01 -2.299143480352261e+00 -1.028166346515997e+00 8.081044969382790e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.666666666666667e+00 3.750000000000000e-01 -2.282396342528663e+00 -1.058232547676329e+00 8.608927662482233e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.631578947368421e+00 3.799999999999999e-01 -2.266492602067168e+00 -1.089362985501745e+00 9.136862221450442e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.597402597402597e+00 3.850000000000000e-01 -2.251412710299820e+00 -1.121473347537062e+00 9.653452606014086e-01
8 8 1.000000000000000e+00 1.000000000000000e+00 2.564102564102564e+00 3.900000000000000e-01 -2.237136817055524e+00 -1.154444377831075e+00 1.014593635611954e+00
8 8 1.000000000000000e+00 1.000000000000000e+00 2.531645569620253e+00 3.950000000000000e-01 -2.223644346599210e+00 -1.188122128646503e+00 1.060082945378525e+00
8 8 1.000000000000000e+00 1.000000000000000e+00 2.500000000000000e+00 4.000000000000000e-01 -2.210913623454116e+00 -1.222320643250913e+00 1.100475889362431e+00
8 8 1.000000000000000e+00 1.000000000000000e+00 2.469135802469136e+00 4.050000000000000e-01 -2.198921574784405e+00 -1.256827178488994e+00 1.134540524893528e+00
8 8 1.000000000000000e+00 1.000000000000000e+00 2.439024390243902e+00 4.100000000000000e-01 -2.187643532825623e+00 -1.291409754861675e+00 1.161244440071862e+00
